Date,MSFT,AAPL,AMZN,TSLA,NVDA,GOOG,GOOGL,FB,ADBE,NFLX,MSRPortfolio,GMVPortfolio,EqualPortfolio
2020-12-08,0.0080265494570646,0.0050908844802495,0.0061083087397086,0.0126526970728513,-0.018869373009935,-0.0005110971322697,-0.0031370274068266,-0.0076335636222296,0.0061554068054849,-0.0060491989308876,-0.002985022536780299,0.0025940880073553646,0.00018335864532103977
2020-12-09,-0.0194897966016307,-0.0209037316982049,-0.0230039080797935,-0.0698590888328685,-0.0314045537060894,-0.018927190933748,-0.0184781192897137,-0.0193365600424113,-0.0232999697611451,-0.0371785745012709,-0.026583461988557242,-0.02122248424686996,-0.028188149344687597
2020-12-10,-0.0060434363702256,0.0119888525071483,-0.0008729982097728,0.0373710093756951,0.0032096394298219,-0.004932403454534,-0.0057428375047205,-0.0028785908267785,-0.0142018339232197,0.0151742097020963,0.0015330525598652347,-0.002829672673031157,0.0033071610725510497
2020-12-11,0.0130153347151227,-0.0067348786616643,0.0048137933858041,-0.0272378152508256,0.0031605201282531,0.0036275307461774,0.0040449324826303,-0.0128825312659234,-0.0020131084154287,0.0042507434133649,0.0011500935398128264,0.005029097729473284,-0.0015955478722489498
2020-12-14,0.0044078003452248,-0.005146605801079,0.0130117410409751,0.0489188797999782,0.0227075559873304,-0.0121844911275361,-0.0127000441614254,0.0023396601282248,0.0220840262059294,0.0381542505501484,0.005804425184357662,-0.0007046110719776504,0.01215927729677706
2020-12-15,-0.0003267498420878,0.05009035819169,0.0025816355793268,-0.0102840079789504,0.0038884891859123,0.00438051017667,0.005033468748739,0.0049600130934022,-0.0077710577257847,-0.0050533174187558,0.00492997098630329,0.0053206816457859055,0.004749934201016159
2020-12-16,0.0240507308208515,-0.0005474581156972,0.0239611266544548,-0.0165495144097906,-0.0088320670451595,-0.0026983261091846,-0.0022088804013393,0.0004355833976665,0.0150422235504033,0.0097156252996399,-0.0004319382825402806,0.00830012467715792,0.00423690436418448
2020-12-17,0.0006384933702843,0.0069635643555534,-0.0015056906159662,0.0531978144998053,0.0074571338926776,-0.0085649325014179,-0.0094923893034054,-0.0043167625925275,0.0111451134249247,0.0153764204382387,0.0030797976249234854,-0.0012452394240975435,0.007089876496816701
2020-12-18,-0.0037827438674143,-0.0158508391988424,-0.0106394697195746,0.0596127070731742,-0.0051907096299694,-0.0096630320773999,-0.0082102595893717,0.0069949829607081,0.0153222448922676,0.0029085905989749,-0.0012475825295331562,-0.004816882764886701,0.0031501471442552495
2020-12-21,0.0182991329008985,0.012395312613187,0.001414904858014,-0.0649496618705035,0.0045395421830281,0.0048295416847417,0.0048314167024545,-0.0130607274904643,-0.0090665014240023,-0.0103658693528104,0.00014092171284871134,0.00728820235026096,-0.005113290919545669
2020-12-22,0.0060649884055621,0.0284645700356316,0.0001060726494497,-0.0146492447907837,-0.00405034562566,-0.0091239903215646,-0.0082672767227599,-0.0208952410716772,0.0115973390839301,-0.0029871926805207,-0.0038528702225686324,-1.71425134204954e-05,-0.00137403210383926
